mode,label,query_count,recall_at_1,recall_at_5,recall_at_10,map_at_k,ndcg_at_k,first_tier,second_tier,anmrr,elapsed_seconds
baseline,Baseline,440,0.8682,0.9023,0.9159,0.6191,0.6814,0.3676,0.4079,0.5773,0.47
cleaning_only,YOLO Cleaning Only,440,0.8682,0.9023,0.9159,0.6191,0.6814,0.3676,0.4079,0.5773,0.36
masked_pooling,YOLO Cleaning + Masked Visual,440,0.8614,0.8909,0.9045,0.5374,0.6128,0.3016,0.3414,0.6442,0.35
full_model,YOLO Cleaning + Structure,440,0.8795,0.9114,0.9205,0.5629,0.6396,0.3026,0.3458,0.6409,0.58
attention_visual,Attention Visual (No Cleaning),440,0.875,0.9114,0.9205,0.6031,0.6714,0.3648,0.4099,0.5757,0.33
attention_structure,Attention + Structure (No Cleaning),440,0.8977,0.9318,0.95,0.6141,0.6882,0.3655,0.4158,0.5727,0.56
